Strategy,Flux,Biomass,N_of_deletions,C_limit
"['PPNDH', 'CYTK1', 'OXPTNDH']",3.0925075833465603e-09,0.4166315745891049,3,10
"['HIUHY', 'GG15DAPAH', 'GTHS']",5.0637692761146276e-08,0.4178046935023782,3,10
"['RPE', 'ECOAH27', 'OXPTNDH']",2.5356399646625505e-08,0.4161224537862878,3,10
"['AASAD3', 'ECOAH27', 'GTHS']",6.436190183589653e-08,0.4178046935797871,3,10
"['SERAT', 'AASAD3', 'GTHS']",1.750440006831333e-08,0.4178046939433636,3,10
"['HIUHY', 'RPE', 'CYTK1']",1.2936565513266274e-08,0.4149587500453407,3,10
"['ECOAH27', 'OXOAEL', 'TPI']",8.501706361130347e-08,0.0839160084692769,3,10
"['OXPTNDH', 'RPE', 'MCSNAH']",1.863224946552222e-08,0.4161224517569249,3,10
"['PPNDH', 'CYTK1', 'PHETA1']",7.829109871515527e-08,0.4166315750276247,3,10
"['CYTK1', 'ECOAH27', 'OXPTNDH', 'HACD6i']",4.9259341494689586e-08,0.4166315750850085,4,10
"['GUAD', 'HACD7i']",4.880941873765255e-09,0.4178046935800774,2,10
"['FRDO5r', 'PYK']",0.0,0.4178046935800737,2,10
"['HIUHY', 'ICDHyr']",0.0,0.4044657033345362,2,10
"['PRPPS', 'CAT']",0.0,0.3878131654706658,2,10
"['RPE', '3OXCOAT']",0.0,0.0911174481527601,2,10
"['CAT', 'TKT2']",0.0,0.3854111057999388,2,10
"['GUAD', 'PHAP2C80']",0.0,0.4178046935800736,2,10
"['PRPPS', 'HIUHY']",0.0,0.4178046935801692,2,10
"['PACCOAL', 'HIUHY', 'TKT2']",1.432775326530115e-07,0.4152168478146464,3,10
"['TKT2', 'ICDHyr', 'CAT', '3OXCOAT']",1.0746610425093133e-05,0.058072799952439,4,10
"['PPA', 'CYTK1', 'PPKr', 'HSK']",1.750352736599332,0.0475277644367389,4,10
"['PPA', 'PPKr', 'URIDK2r', 'HSK']",1.7240646978409402,0.052532339276651,4,10
"['PPA', 'PPKr', 'ABTA', 'HSK']",1.7232873978541974,0.0526745552852801,4,10
"['PPA', 'GGSPMDS', 'PPKr', 'HSK']",1.723287397853734,0.0526745552853262,4,10
"['HPYRI', 'PPA', 'PPKr', 'HSK']",1.7232328025263437,0.0526825334937662,4,10
"['PPA', 'CYTDH', 'PPKr', 'HSK']",1.7232328025264343,0.0526825334937575,4,10
"['PPA', 'HSK', 'PPKr', 'KAT22']",1.723232802526377,0.05268253349377,4,10
"['PPA', 'HSK', 'PPKr', 'PPCK']",1.723232802526326,0.0526825334937669,4,10
"['APTNAT', 'PPA', 'PPKr', 'HSK']",1.723232802525872,0.0526825334938129,4,10
"['AASAD3', 'PPA', 'PPKr', 'HSK']",1.7232328025263737,0.0526825334937689,4,10
"['CSPMDDH', 'ACONTb', 'CYTDH', 'NTD2']",1.291868314681633,0.1678846646817811,4,10
"['GAPD', 'NTD2', 'ECOAH27', 'ECOAH7']",1.4204979967291642e-07,0.413836912752071,4,10
"['GLUTCOADHc', 'ACOAD2f', 'CYTDH', 'ECOAH27']",4.539169200235005e-07,0.4178046935801108,4,10
"['GAPD', 'PGI', 'PGM', 'ECOAH27']",2.0921249455074782e-09,0.4135429695955592,4,10
